hmo_licence_reference,pcd,lat,long
HMOM/21/63875,NW7 2PG,51.6111,-0.2214
HMOM/21/64100,NW4 4SH,51.5893,-0.2366
HMOME/21/65123,NW11 8EL,51.5722,-0.1983
HMOM/22/65376,N3 2PR,51.6045,-0.1882
HMOME/21/63839,EN5 2HE,51.6521,-0.1987
HMOM/20/63547,NW11 8LX,51.5701,-0.1955
HMOM/21/64101,NW4 2AD,51.5863,-0.2191
HMOM/21/64687,NW9 5DL,51.5921,-0.257
HMOM/22/65493,NW4 1BU,51.5906,-0.2204
HMOM/21/63983,NW4 3SX,51.5804,-0.2371
HMOM/21/64300,N2 8AB,51.5891,-0.1643
HMOME/21/64365,N12 9AX,51.6138,-0.1614
HMOM/21/64496,NW2 1DA,51.5682,-0.2212
HMOME/22/65698,EN5 5JG,51.6508,-0.1786
HMOM/20/63619,New Barnet,51.6499,-0.1742
HMOM/21/64865,EN4 8RW,51.6498,-0.1726
HMOME/21/63762,NW4 2JT,51.5884,-0.2116
HMOME/21/63837,N12 9EA,51.6148,-0.1726
HMOM/22/65699,EN5 2HE,51.6521,-0.1987
HMOM/21/65233,NW4 1BT,51.5904,-0.2207
HMOM/22/65474,NW11 9BL,51.5739,-0.2043
HMOAA/21/63777,NW7 3SP,51.6182,-0.2587
HMOM/21/64476,NW11 7ES,51.58,-0.1985
HMOME/21/64709,NW2 1DN,51.5668,-0.2193
HMOM/21/64497,HA8 8EA,51.6174,-0.284
HMOM/22/65819,NW4 4SH,51.5893,-0.2366
HMOM/21/63996,NW11 7RL,51.571,-0.19
HMOME/21/64211,EN5 2EE,51.6474,-0.1947
HMOME/21/64739,NW11 9HS,51.5794,-0.2098
HMOM/21/64798,EN5 3EA,51.6483,-0.2197
HMOME/20/63624,N12 0NL,51.612,-0.1755
HMOM/21/63690,EN5 4BY,51.653,-0.2115
HMOME/21/63940,N12 7EA,51.6224,-0.1839
HMOM/21/64889,EN5 2HE,51.6521,-0.1987
HMOME/22/65513,HA8 0LF,51.6018,-0.2658
HMOM/21/64775,NW4 1DA,51.5909,-0.2132
HMOM/21/64952,NW2 1PL,51.5658,-0.2159
